citric acid,residual sugar,chlorides,density,pH,sulphates,alcohol,total acidity,sulphur bound
0.27,2.1,0.071,0.99388,3.35,0.63,12.0,7.890000000000001,39.0
0.0,1.9,0.099,0.99606,3.34,0.6,9.7,7.6850000000000005,31.0
0.05,2.3,0.081,0.99564,3.38,0.6,10.3,7.7700000000000005,52.0
0.4,1.7,0.067,0.99603,3.39,0.6,10.5,8.69,28.0
0.12,1.9,0.165,0.99702,3.26,0.86,9.2,7.930000000000001,16.0
0.44,2.5,0.068,0.99328,3.35,0.54,12.4,7.26,48.0
0.63,2.3,0.091,1.0004,3.16,0.49,9.5,12.690000000000001,24.0
0.37,15.4,0.214,1.00369,3.18,0.77,9.0,10.739999999999998,150.0
0.23,2.7,0.091,0.9994,3.22,0.64,10.3,10.950000000000001,66.0
0.24,2.8,0.092,0.998,3.19,0.73,10.0,9.83,59.0
0.25,2.0,0.104,0.99769,3.27,0.72,9.6,9.58,29.0
0.1,1.6,0.092,0.99745,3.31,0.65,9.55,9.285,15.0
0.03,5.6,0.079,0.99572,3.58,0.5,11.2,7.38,70.0
0.25,2.6,0.081,0.99685,3.46,0.5,11.0,7.42,47.0
0.0,2.2,0.096,0.99557,3.62,0.62,11.5,7.08,16.0
0.3,2.4,0.074,0.9968,3.46,0.59,10.2,7.88,70.0
0.0,1.7,0.052,0.996,3.41,0.47,10.3,7.59,11.0
0.02,1.7,0.084,0.99538,3.36,0.54,10.5,8.01,44.0
0.7,1.9,0.464,0.9974,3.13,1.28,9.4,8.23,89.0
0.02,1.9,0.08,0.99492,3.35,0.81,10.6,7.43,43.0
0.55,3.2,0.076,0.9996,3.15,0.89,9.9,10.81,76.0
0.29,2.1,0.075,0.99718,3.4,0.64,9.5,8.03,85.0
0.09,2.2,0.084,0.9964,3.15,0.66,9.8,9.02,119.0
0.17,5.4,0.168,0.99736,3.28,0.5,9.5,8.040000000000001,150.0
0.23,2.1,0.08,0.99538,3.36,0.7,10.9,7.34,130.0
0.03,1.8,0.078,0.99587,3.34,0.39,9.5,7.855,19.0
0.42,2.4,0.081,0.997,3.2,0.71,11.4,10.14,77.0
0.01,2.1,0.056,0.99472,3.52,0.56,11.4,6.6899999999999995,18.0
0.29,1.9,0.078,0.9971,3.45,0.59,9.5,8.0,95.0
0.39,1.2,0.059,0.99331,3.29,0.52,11.5,7.6049999999999995,18.0
0.48,2.5,0.063,0.9998,3.12,0.59,9.3,10.83,31.0
0.44,1.5,0.042,0.99542,3.35,0.61,10.7,8.43,18.0
0.24,2.2,0.087,0.9988,3.14,0.6,10.2,10.28,33.0
0.52,2.2,0.071,1.0006,3.1,0.56,9.0,13.66,47.0
0.28,2.6,0.078,0.998,3.28,0.51,9.8,10.64,98.0
0.43,1.65,0.068,0.99478,3.19,0.46,11.4,10.190000000000001,16.0
0.49,2.8,0.088,0.9972,3.22,0.68,11.7,11.110000000000001,43.0
0.63,2.4,0.088,0.9997,3.1,0.6,10.4,13.64,48.0
0.41,2.4,0.065,0.99492,3.34,0.85,11.4,7.81,94.0
0.54,1.5,0.095,0.99735,3.02,0.76,9.9,12.01,63.0
0.4,1.3,0.044,0.99478,3.2,0.83,10.9,9.39,75.0
0.23,3.4,0.078,0.9976,3.28,0.62,9.4,8.76,118.0
0.3,1.9,0.074,0.99717,3.39,0.61,9.0,8.39,116.0
0.0,2.5,0.072,0.99491,3.43,0.56,11.2,7.37,96.0
0.31,2.8,0.07,0.99693,3.22,0.55,10.3,8.08,19.0
0.19,3.0,0.077,0.9966,3.37,0.51,10.5,7.890000000000001,53.0
0.1,3.3,0.09,0.99855,3.36,0.49,9.5,8.879999999999999,17.0
0.21,2.3,0.086,0.99558,3.4,0.54,10.1,7.36,85.0
0.27,2.0,0.092,0.99471,3.78,0.64,12.3,5.82,78.0
0.02,1.9,0.061,0.99489,3.39,0.82,10.9,7.37,68.0
0.5,4.5,0.107,0.998,3.28,0.83,11.5,10.74,18.0
0.0,1.8,0.074,0.9972,3.47,0.7,9.9,7.699999999999999,50.0
0.05,2.3,0.079,0.99735,3.29,0.63,9.3,8.42,24.0
0.57,2.3,0.087,0.99676,3.14,0.72,11.1,10.959999999999999,26.0
0.49,2.2,0.083,1.0,3.19,0.43,9.2,12.19,20.0
0.29,2.2,0.098,0.9988,3.36,0.49,9.1,9.4,20.0
0.0,2.1,0.091,0.99488,3.42,0.55,11.5,7.6899999999999995,23.0
0.24,3.4,0.076,0.9976,3.27,0.61,9.4,8.84,128.0
0.27,2.8,0.078,0.9984,3.31,0.67,10.6,10.075000000000001,80.0
0.12,2.3,0.12,0.99519,3.47,0.71,11.3,6.970000000000001,61.0
0.53,6.7,0.097,0.9986,3.27,0.82,11.7,10.3,25.0
0.64,2.2,0.111,0.997,3.26,0.66,11.7,11.08,26.0
0.28,1.9,0.11,0.9972,2.93,1.95,9.9,9.09,156.0
0.68,1.8,0.403,0.99632,3.02,1.15,9.3,9.235,75.0
0.15,1.8,0.078,0.99294,3.33,0.6,10.5,6.960000000000001,82.0
0.5,3.4,0.107,0.9979,3.26,0.93,11.8,10.42,28.0
0.52,1.8,0.071,0.9968,3.2,0.72,10.2,12.06,16.0
0.12,3.0,0.092,0.9967,3.37,0.7,10.3,7.9,82.0
0.1,2.6,0.053,0.99362,3.57,0.5,11.9,6.8149999999999995,40.0
0.66,3.1,0.109,1.0,3.15,0.85,10.4,12.33,33.0
0.15,2.8,0.11,0.9955,3.17,0.63,10.2,8.11,106.0
0.42,2.1,0.072,0.99392,3.11,0.78,12.4,8.74,59.0
0.21,1.5,0.069,0.99458,3.16,0.54,9.8,8.27,13.0
0.36,2.6,0.056,0.99562,3.4,0.69,11.8,9.21,49.0
0.42,1.8,0.058,0.99392,3.18,0.55,11.4,9.44,27.0
0.07,1.7,0.086,0.99502,3.12,0.48,10.0,8.14,63.0
0.01,2.6,0.074,0.99621,3.38,0.62,10.8,8.615,138.0
0.26,2.0,0.101,0.9957,3.15,0.57,9.4,7.930000000000001,88.0
0.44,2.3,0.08,0.9988,3.32,0.67,9.7,10.41,68.0
0.12,2.0,0.075,0.99547,3.57,0.71,10.2,6.545,76.0
0.47,2.4,0.074,0.9979,3.08,0.46,9.5,9.07,36.0
0.21,2.0,0.08,0.9961,3.33,0.47,9.5,7.68,42.0
0.06,6.0,0.06,0.9962,3.41,0.59,10.8,7.39,29.0
0.18,2.1,0.078,0.9967,3.2,0.48,9.8,9.085,35.0
0.4,2.4,0.052,0.99356,3.33,0.7,12.8,8.479999999999999,14.0
0.27,2.0,0.083,0.99616,3.26,0.58,9.8,8.13,108.0
0.08,4.4,0.086,0.9974,3.38,0.5,9.0,7.99,35.0
0.23,2.6,0.091,0.99922,3.15,0.51,9.4,9.66,95.0
0.53,2.2,0.06,0.99572,3.02,0.83,10.9,11.41,13.0
0.07,3.4,0.102,1.00015,3.31,0.71,9.8,10.49,103.0
0.33,1.3,0.07,0.9978,3.24,0.6,9.3,9.62,39.0
0.12,1.7,0.097,0.99596,3.16,0.49,9.4,8.09,46.0
0.43,2.9,0.076,0.9984,3.08,0.57,10.1,11.62,114.0
0.2,1.6,0.049,0.9935,3.38,0.57,11.7,7.74,88.0
0.0,2.5,0.105,0.9966,3.46,0.57,10.6,7.585000000000001,59.0
0.51,2.2,0.079,0.9982,3.03,0.93,9.8,11.81,42.0
0.6,2.0,0.039,0.99585,3.3,0.86,12.4,10.229999999999999,24.0
0.18,1.5,0.062,0.9951,3.08,0.6,9.3,7.62,57.0
0.45,2.3,0.082,1.0,3.0,0.7,9.3,13.29,33.0
0.25,2.5,0.104,1.001,3.41,0.67,11.2,10.680000000000001,190.0
0.08,2.4,0.092,0.9974,3.24,0.71,9.8,8.535,51.0
0.49,2.7,0.098,1.0004,3.16,0.61,10.3,12.280000000000001,54.0
0.31,8.8,0.084,0.99824,3.38,0.64,10.1,7.21,71.0
0.68,1.7,0.415,0.99656,3.09,1.06,9.1,8.28,46.0
0.66,3.65,0.121,0.9978,3.05,0.74,11.5,12.129999999999999,20.0
0.09,3.9,0.123,0.9968,3.5,0.67,11.0,6.930000000000001,45.0
0.0,2.2,0.079,0.9948,3.59,0.54,11.5,6.66,15.0
0.33,2.0,0.084,0.9968,3.2,0.55,9.5,8.4,158.0
0.69,2.1,0.09,1.0,3.17,0.62,9.2,11.76,27.0
0.48,2.7,0.065,0.9972,3.21,0.87,11.3,11.02,23.0
0.52,2.2,0.074,0.99509,3.36,0.76,12.4,9.93,38.0
0.26,1.6,0.236,0.9968,3.11,0.8,9.3,8.09,98.0
0.32,3.6,0.061,0.99416,3.28,0.49,11.3,7.4,38.0
0.23,2.0,0.099,0.9973,3.19,0.7,9.4,8.899999999999999,95.0
0.26,1.8,0.401,0.9969,3.16,1.14,9.4,7.97,67.0
0.01,2.0,0.057,0.99488,3.6,0.46,11.2,7.279999999999999,48.0
0.5,1.9,0.369,0.99634,3.01,1.1,9.4,8.94,53.0
0.23,1.6,0.066,0.9958,3.34,0.56,9.2,6.800000000000001,17.0
0.3,2.0,0.085,0.99346,3.33,0.46,11.9,7.43,45.0
0.42,5.5,0.071,0.9973,3.42,0.71,10.5,7.529999999999999,156.0
0.25,1.9,0.081,0.9984,3.43,0.65,9.0,8.32,52.0
0.15,2.1,0.076,0.9957,3.32,0.62,9.3,7.04,75.0
0.32,2.5,0.09,0.9966,3.32,0.79,11.1,7.54,156.0
0.12,2.1,0.065,0.99252,3.3,0.53,13.3,7.489999999999999,38.0
0.4,2.2,0.079,0.99512,3.27,0.67,11.9,8.915,9.0
0.09,3.9,0.068,0.99524,3.41,0.52,11.1,7.4799999999999995,44.0
0.09,1.7,0.053,0.99402,3.54,0.6,11.3,6.76,56.0
0.0,2.1,0.064,0.995,3.54,0.93,10.7,6.51,94.0
0.14,2.4,0.067,0.9969,3.19,0.59,9.5,9.41,52.0
0.32,2.1,0.062,0.99728,3.3,0.65,10.0,7.779999999999999,85.0
0.53,2.6,0.07,0.9972,3.15,0.65,11.0,11.049999999999999,21.0
0.24,1.7,0.077,0.9948,3.39,0.6,10.6,7.16,52.0
0.64,2.4,0.107,0.9973,3.09,0.66,11.8,11.01,21.0
0.24,2.3,0.103,0.9978,3.34,0.52,10.0,10.4,20.0
0.36,1.9,0.064,0.99604,3.47,0.87,11.0,8.82,130.0
0.63,2.0,0.071,0.9988,2.99,0.87,10.2,12.96,21.0
0.27,2.6,0.084,0.9964,3.39,0.71,11.0,7.74,90.0
0.08,2.1,0.045,0.9949,3.49,0.49,11.4,7.07,67.0
0.14,2.2,0.077,0.9963,3.28,0.59,9.8,8.08,87.0
0.13,2.1,0.102,0.9944,3.24,0.53,11.2,8.379999999999999,53.0
0.02,2.7,0.072,0.9955,3.58,0.89,12.3,7.414999999999999,51.0
0.28,2.1,0.048,0.99374,3.41,0.6,12.8,6.87,62.0
0.13,2.0,0.076,0.99546,3.29,0.54,10.1,7.8950000000000005,32.0
0.44,2.3,0.071,0.9992,3.46,0.63,9.5,10.09,89.0
0.46,1.7,0.062,0.9959,3.18,0.83,10.6,10.15,68.0
0.17,1.8,0.082,0.99634,3.49,0.64,10.4,7.529999999999999,78.0
0.26,2.0,0.083,0.99586,3.26,0.52,9.9,7.76,113.0
0.33,1.9,0.074,0.99706,3.41,0.58,9.0,8.09,112.0
0.64,2.1,0.059,0.99494,3.34,0.71,11.2,6.86,76.0
0.43,2.8,0.08,0.9985,3.06,0.57,10.1,11.625,105.0
0.44,2.2,0.075,1.00005,3.07,0.84,9.2,15.21,34.0
0.08,1.7,0.094,0.99576,3.24,0.5,9.8,8.04,55.0
0.0,2.6,0.081,0.9975,3.3,0.52,9.3,8.535,20.0
0.31,2.7,0.084,0.9984,3.31,0.61,9.4,9.47,149.0
0.06,2.7,0.077,0.99746,3.51,0.54,9.5,7.82,100.0
0.31,1.7,0.079,0.99716,3.46,0.62,9.5,7.96,91.0
0.31,2.8,0.093,0.99815,3.32,0.63,9.5,9.46,117.0
0.63,2.3,0.091,1.0004,3.16,0.49,9.5,12.690000000000001,24.0
0.04,2.2,0.061,0.99588,3.53,0.65,10.4,7.19,28.0
0.13,2.5,0.097,0.99785,3.39,0.61,9.4,8.14,90.0
0.44,2.4,0.214,0.9994,3.19,0.63,9.5,10.73,17.0
0.02,1.7,0.084,0.99538,3.36,0.54,10.5,8.01,44.0
0.47,2.1,0.066,0.9978,3.15,0.9,11.0,10.74,30.0
0.26,2.0,0.052,0.9951,3.15,0.79,10.9,7.96,96.0
0.59,2.6,0.087,0.9988,3.18,0.65,11.0,12.09,62.0
0.47,2.1,0.066,0.9978,3.15,0.9,11.0,10.74,30.0
0.02,2.3,0.063,0.9975,3.57,0.78,9.9,7.665,98.0
0.0,2.1,0.137,0.99476,3.5,0.4,10.9,9.18,14.0
0.49,2.0,0.27,0.9972,3.12,1.02,9.3,9.51,133.0
0.5,1.8,0.071,0.99462,3.21,0.69,12.5,9.5,23.0
0.32,12.9,0.054,0.99572,3.3,0.56,11.5,6.33,119.0
0.17,2.4,0.241,0.9961,3.4,0.59,10.3,7.535,24.0
0.32,2.1,0.062,0.99728,3.3,0.65,10.0,7.779999999999999,85.0
0.37,2.6,0.086,0.9981,3.16,0.52,9.9,11.43,96.0
0.49,1.7,0.07,0.9922,3.12,0.5,11.5,6.989999999999999,172.0
0.22,2.6,0.087,0.9982,3.26,0.61,9.3,8.915000000000001,25.0
0.41,8.9,0.069,0.99859,3.29,0.81,10.9,9.89,57.0
0.24,2.1,0.102,0.99462,3.44,0.58,11.4,7.29,11.0
0.53,2.4,0.074,0.9962,3.2,1.13,12.0,9.67,24.0
0.39,2.4,0.078,0.99444,3.31,0.77,12.5,8.610000000000001,60.0
0.0,1.7,0.081,0.9964,3.53,0.49,10.9,9.53,15.0
0.15,3.2,0.097,0.99976,3.28,0.54,9.6,9.76,68.0
0.49,2.6,0.079,0.9994,3.12,0.75,10.4,12.75,96.0
0.01,2.4,0.078,0.9955,3.55,0.61,12.8,7.45,49.0
0.0,4.3,0.093,0.99558,3.2,0.45,9.5,7.2299999999999995,128.5
0.58,2.1,0.054,0.998,3.31,0.88,10.5,11.3,26.0
0.11,1.9,0.09,0.9965,3.19,0.82,9.6,9.145,79.0
0.12,1.8,0.178,0.996,3.28,0.87,9.8,8.3,27.0
0.18,2.4,0.083,0.9963,3.29,0.6,10.2,8.31,26.0
0.66,2.3,0.387,0.9982,3.17,0.67,9.6,10.05,49.0
0.0,2.2,0.089,0.9978,3.37,0.46,9.6,8.979999999999999,39.0
0.27,2.3,0.082,0.99782,3.27,0.55,9.4,10.07,167.0
0.55,2.7,0.081,1.0006,2.98,0.54,9.4,13.58,21.0
0.47,2.0,0.061,0.99585,3.23,0.52,12.0,10.35,17.0
0.49,2.4,0.078,0.9978,3.23,0.58,9.2,9.44,147.0
0.08,1.8,0.097,0.9959,3.28,0.54,9.2,7.28,80.0
0.55,2.8,0.072,1.00012,3.09,0.68,10.9,13.4,31.0
0.12,3.0,0.067,0.9971,3.36,0.57,9.1,8.12,65.0
0.48,2.0,0.343,0.9979,3.3,0.71,10.5,11.2,24.0
0.41,2.3,0.088,0.9988,3.09,0.8,9.3,11.67,22.0
0.12,2.2,0.083,0.9966,3.52,0.62,10.2,7.6,41.0
0.15,1.8,0.072,0.9955,3.42,0.57,9.4,6.4799999999999995,25.0
0.42,2.8,0.09,0.999,3.28,0.7,9.5,10.89,108.0
0.1,3.0,0.091,0.99888,3.31,0.54,9.5,9.87,60.0
0.24,2.7,0.092,0.998,3.12,0.74,10.0,9.96,58.0
0.54,2.7,0.105,0.9988,3.25,0.63,9.5,10.68,24.0
0.24,2.5,0.226,0.9991,3.32,0.6,9.0,9.399999999999999,20.0
0.0,2.2,0.084,0.99656,3.25,0.5,9.8,8.969999999999999,41.0
0.0,2.1,0.041,0.99346,3.68,0.73,11.4,6.515,95.0
0.25,2.3,0.071,0.99633,3.42,0.97,10.6,6.42,81.0
0.0,2.2,0.073,0.9969,3.48,0.5,9.3,7.779999999999999,34.0
0.07,1.4,0.074,0.9973,3.32,0.81,9.6,7.720000000000001,25.0
0.49,4.3,0.1,1.001,3.25,0.74,11.9,13.1,19.0
0.3,2.0,0.062,0.9952,3.28,0.9,11.3,7.98,52.0
0.33,2.0,0.074,0.9968,3.25,0.54,9.4,8.39,144.0
0.68,1.7,0.414,0.99652,2.9,1.33,9.1,9.86,82.0
0.41,2.2,0.084,0.9984,3.08,0.67,9.3,11.200000000000001,24.0
0.34,2.5,0.08,0.9987,3.38,0.62,9.5,9.43,112.0
0.0,3.0,0.102,0.9965,3.45,0.56,10.7,7.575,31.0
0.49,1.4,0.075,0.9969,3.13,0.63,10.4,12.649999999999999,9.0
0.44,1.7,0.079,0.99605,3.52,0.63,10.7,8.84,18.0
0.42,5.5,0.07,0.9973,3.42,0.72,10.5,7.529999999999999,158.0
0.0,1.8,0.066,0.9976,3.62,0.68,9.9,7.57,86.0
0.13,2.4,0.056,0.99362,3.62,0.67,12.4,6.295,42.0
0.49,1.8,0.075,0.9977,3.18,1.06,11.0,10.64,26.0
0.19,1.8,0.082,0.99655,3.49,0.68,10.5,7.95,49.0
0.41,1.5,0.056,0.99396,3.29,0.71,11.0,8.23,41.0
0.19,1.7,0.079,0.99547,3.38,0.64,9.8,7.390000000000001,39.0
0.29,2.1,0.127,0.9968,3.22,0.72,11.2,9.780000000000001,22.0
0.0,2.6,0.055,0.99639,3.38,0.56,10.8,8.3,20.0
0.0,2.5,0.068,0.9969,3.48,0.56,9.6,7.805,27.0
0.05,1.4,0.045,0.9924,3.56,0.82,12.9,6.449999999999999,100.0
0.49,2.9,0.085,0.9982,3.29,0.6,9.8,9.270000000000001,127.0
0.51,1.7,0.415,0.99623,3.0,1.17,9.2,9.479999999999999,78.0
0.04,2.0,0.082,0.9976,3.22,0.44,9.6,8.96,32.0
0.34,2.6,0.094,0.99796,3.26,0.66,10.1,10.36,100.0
0.58,1.9,0.07,1.0004,3.06,0.49,9.0,13.73,55.0
0.33,2.5,0.064,0.9952,3.35,0.77,12.1,7.64,58.0
0.24,2.85,0.094,0.9982,3.1,0.53,9.2,9.38,141.0
0.39,1.4,0.066,0.9947,3.19,0.55,11.4,10.14,10.0
0.46,1.9,0.081,0.99628,3.1,0.48,10.4,10.53,15.0
0.34,6.6,0.112,1.00289,3.22,0.68,9.3,11.6,122.0
0.02,2.0,0.072,0.99575,3.36,0.61,10.2,7.57,43.0
0.1,2.1,0.112,0.9963,3.26,0.5,9.5,8.665000000000001,33.0
0.52,3.2,0.094,1.0014,3.05,0.81,9.5,13.64,70.0
0.32,2.1,0.079,0.99656,3.27,0.5,9.8,8.77,90.0
0.0,2.3,0.166,0.99551,3.56,0.51,10.8,7.285,18.0
0.44,2.1,0.107,0.9978,3.14,1.22,9.5,9.690000000000001,159.0
0.3,2.8,0.088,0.9976,3.26,0.51,9.3,9.41,63.0
0.09,2.3,0.049,0.9937,3.63,0.63,13.0,6.1,116.0
0.4,2.5,0.068,0.99754,3.38,0.86,10.5,10.6,95.0
0.5,2.0,0.099,0.99783,3.1,0.58,10.4,11.6,69.0
0.24,2.6,0.078,0.99788,3.21,0.57,9.5,9.729999999999999,167.0
0.09,2.2,0.063,0.99444,3.42,0.69,11.3,7.04,27.0
0.05,2.4,0.081,0.99814,3.36,0.53,10.0,9.82,122.0
0.26,7.2,0.07,0.9981,3.37,0.49,9.4,7.89,156.0
0.09,2.5,0.091,0.9976,3.34,0.86,10.6,9.219999999999999,69.0
0.21,2.2,0.047,0.99661,3.47,0.77,9.7,6.760000000000001,74.0
0.43,2.3,0.059,0.9966,3.15,0.57,11.0,10.73,46.0
0.31,2.8,0.089,0.9979,3.11,0.92,10.0,10.16,61.0
0.24,2.2,0.095,0.9946,3.57,0.57,11.7,6.5600000000000005,61.0
0.27,2.3,0.084,0.9978,3.24,0.53,9.4,10.385,176.0
0.39,2.5,0.077,0.99555,3.51,0.69,11.0,6.640000000000001,20.0
0.09,2.5,0.081,0.99538,3.57,0.63,12.0,6.84,41.0
0.17,1.6,0.073,0.99425,3.61,0.54,11.4,6.66,18.0
0.05,2.4,0.073,0.99258,3.56,0.55,12.9,6.205,44.0
0.34,2.0,0.079,0.998,3.15,0.53,9.5,11.040000000000001,183.0
0.63,2.8,0.084,0.9998,3.26,0.74,11.2,10.73,27.0
0.71,4.4,0.124,0.9984,3.01,0.83,11.8,12.04,21.0
0.08,2.1,0.105,0.9958,3.13,0.52,11.0,8.96,60.0
0.02,2.5,0.071,0.99538,3.51,0.71,11.7,8.334999999999999,24.0
0.0,2.1,0.064,0.995,3.54,0.93,10.7,6.51,94.0
0.24,1.7,0.078,0.99692,3.29,0.67,10.0,9.785,31.0
0.07,2.0,0.1,0.99598,3.6,0.74,11.7,7.5600000000000005,77.0
0.45,2.5,0.092,0.99918,3.15,0.43,9.4,10.35,108.0
0.03,1.5,0.08,0.99498,3.66,0.62,10.1,6.22,19.0
0.28,2.4,0.086,0.9979,3.24,0.53,9.4,10.48,177.0
0.62,2.6,0.082,1.0002,3.16,0.67,9.7,13.67,27.0
0.32,2.8,0.084,0.9984,3.32,0.62,9.4,9.48,143.0
0.39,3.2,0.083,0.9989,3.37,0.71,11.5,10.46,80.0
0.03,4.1,0.08,0.99592,3.02,0.47,9.2,8.08,73.0
0.31,1.7,0.079,0.99716,3.46,0.62,9.5,7.96,91.0
0.03,1.6,0.072,0.9956,3.37,0.48,9.0,7.85,59.0
0.0,1.6,0.089,0.9943,3.58,0.52,9.9,6.215,75.0
0.17,2.0,0.073,0.9972,3.29,0.61,9.2,8.42,24.0
0.23,1.7,0.077,0.99625,3.29,0.65,9.3,8.23,63.0
0.11,1.4,0.084,0.99578,2.88,0.47,9.7,10.69,32.0
0.01,1.6,0.077,0.995,3.16,0.46,9.8,8.33,22.0
0.1,2.4,0.08,0.99736,3.58,0.69,10.8,8.035,49.0
0.19,2.1,0.081,0.9962,3.33,0.54,9.5,8.36,120.0
0.49,1.9,0.171,0.9975,3.27,0.61,9.4,9.53,31.0
0.15,3.7,0.104,0.99786,3.14,0.58,9.1,7.91,123.0
0.02,2.1,0.115,0.99654,3.38,0.69,9.5,7.17,22.0
0.28,2.7,0.096,0.99734,3.26,0.63,10.2,9.33,86.0
0.49,4.6,0.118,1.0002,3.07,0.56,11.7,11.43,27.0
0.19,2.0,0.081,0.9962,3.32,0.54,9.5,8.36,125.0
0.06,1.3,0.07,0.9942,3.17,0.48,9.8,7.72,17.0
0.28,2.0,0.082,0.99694,3.45,0.48,9.4,7.4399999999999995,99.0
0.36,2.0,0.089,0.99745,3.31,0.57,10.4,9.035,70.0
0.4,1.4,0.091,0.99704,3.07,0.65,10.0333333333333,12.075,34.0
0.49,4.5,0.07,0.9981,3.05,0.57,9.6,12.96,75.0
0.2,11.0,0.071,1.0015,3.16,0.69,9.2,10.49,63.0
0.51,1.75,0.071,0.99524,3.33,0.76,11.8,8.68,133.0
0.06,2.1,0.08,0.99845,3.68,0.71,9.6,7.57,41.0
0.33,2.05,0.063,0.99516,3.26,0.84,11.7,9.389999999999999,40.0
0.01,3.7,0.103,0.99586,3.51,0.66,11.3,6.9799999999999995,86.0
0.07,1.9,0.058,0.99525,3.51,0.43,10.7,8.709999999999999,69.0
0.6,3.0,0.104,0.99828,3.39,0.68,10.6,8.479999999999999,32.0
0.21,2.2,0.071,0.9964,3.28,0.55,9.7,8.15,35.0
0.36,1.9,0.065,0.99419,3.27,0.54,11.2,8.24,15.0
0.49,2.1,0.07,0.9991,3.3,0.56,9.6,11.09,61.0
0.47,1.9,0.078,0.9976,3.18,1.04,10.9,10.76,30.0
0.13,2.6,0.085,0.9984,3.31,0.59,9.2,8.9,30.0
0.43,1.4,0.076,0.99551,3.21,0.75,10.2,9.25,33.0
0.37,1.8,0.046,0.9971,3.41,0.71,12.1,7.930000000000001,83.0
0.56,1.9,0.075,0.998,3.16,0.58,9.8,11.479999999999999,77.0
0.35,2.0,0.088,0.9963,3.28,0.62,9.4,7.785,101.0
0.45,2.6,0.065,0.9947,3.32,0.79,14.0,9.260000000000002,25.0
0.26,3.4,0.09,0.99975,3.24,0.62,9.7,9.91,112.0
0.0,1.8,0.075,0.9978,3.51,0.56,9.4,8.06,53.0
0.04,1.5,0.057,0.99525,3.42,0.6,9.5,7.41,15.0
0.49,2.5,0.067,0.9987,3.26,0.86,10.7,10.91,27.0
0.21,1.8,0.081,0.99689,3.59,0.66,9.8,7.04,45.0
0.36,5.9,0.074,0.9978,3.33,0.83,10.5,7.75,99.0
0.24,2.1,0.07,0.9966,3.12,0.59,9.9,10.015,25.0
0.1,1.8,0.102,0.99565,3.08,0.49,9.8,8.28,137.0
0.15,1.8,0.089,0.9968,3.23,0.77,9.5,9.015,62.0
0.33,1.7,0.061,0.996,3.23,1.1,10.0,7.53,16.0
0.0,2.0,0.083,0.99437,3.59,0.55,11.2,7.32,41.0
0.11,2.3,0.084,0.9979,3.4,0.48,9.9,9.4,43.0
0.37,1.6,0.067,0.99552,3.23,0.58,11.1,9.31,16.0
0.32,2.2,0.081,0.9964,3.3,0.72,11.0,8.76,111.0
0.34,1.8,0.075,0.9933,3.38,0.88,13.6,7.760000000000001,56.0
0.21,1.6,0.08,0.99689,3.58,0.66,9.8,7.03,44.0
0.06,1.8,0.05,0.99236,3.3,0.5,10.55,6.54,127.0
0.49,2.2,0.089,1.0002,3.19,0.44,9.6,12.8,19.0
0.32,2.2,0.069,0.99632,3.33,0.51,9.5,7.99,139.0
0.31,1.6,0.08,0.9978,3.31,0.64,9.0,7.92,57.0
0.01,2.2,0.059,0.99242,3.39,0.4,12.8,7.85,29.0
0.6,3.0,0.104,0.99828,3.39,0.68,10.6,8.479999999999999,32.0
